race,year,stage,distance,vertical meters,profile score,startlist quality,time gap
tour-de-france,2000,1,16.5,205.0,0.0,1437.0,2.0
tour-de-france,2000,2,194.0,1383.0,24.0,1437.0,0
tour-de-france,2000,3,161.5,1331.0,22.0,1437.0,0
tour-de-france,2000,4,70.0,202.0,0.0,1437.0,62.6
tour-de-france,2000,5,202.0,2014.0,40.0,1437.0,0
tour-de-france,2000,6,198.5,1522.0,17.0,1437.0,0
tour-de-france,2000,7,205.5,1997.0,43.0,1437.0,71.1
tour-de-france,2000,8,203.5,2570.0,70.0,1437.0,52.0
tour-de-france,2000,9,181.0,1762.0,33.0,1437.0,0
tour-de-france,2000,10,205.0,5202.0,459.0,1437.0,42.0
tour-de-france,2000,11,218.5,2632.0,87.0,1437.0,0
tour-de-france,2000,12,149.0,3830.0,386.0,1437.0,0
tour-de-france,2000,13,185.5,2270.0,54.0,1437.0,25.0
tour-de-france,2000,14,249.0,6425.0,346.0,1437.0,150.2
tour-de-france,2000,15,173.5,5231.0,461.0,1437.0,41.0
tour-de-france,2000,16,196.0,4992.0,354.0,1437.0,24.0
tour-de-france,2000,17,155.0,2455.0,111.0,1437.0,0
tour-de-france,2000,18,246.5,2137.0,44.0,1437.0,0
tour-de-france,2000,19,58.5,235.0,4.0,1437.0,25.0
tour-de-france,2000,20,254.5,2404.0,41.0,1437.0,0
tour-de-france,2001,1,194.5,1885.0,60.0,1496.0,0
tour-de-france,2001,2,220.5,1044.0,7.0,1496.0,0
tour-de-france,2001,3,198.5,2098.0,114.0,1496.0,0
tour-de-france,2001,4,215.0,2901.0,87.0,1496.0,0
tour-de-france,2001,5,67.0,731.0,33.0,1496.0,Error
tour-de-france,2001,6,211.5,2541.0,75.0,1496.0,0
tour-de-france,2001,7,162.0,3300.0,213.0,1496.0,11.0
tour-de-france,2001,8,222.5,2250.0,133.0,1496.0,0
tour-de-france,2001,9,185.0,2500.0,157.0,1496.0,16.0
tour-de-france,2001,10,209.0,5864.0,431.0,1496.0,119.1
tour-de-france,2001,11,32.0,1863.0,327.0,1496.0,60.1
tour-de-france,2001,12,166.0,4000.0,414.0,1496.0,13.0
tour-de-france,2001,13,194.0,5500.0,599.0,1496.0,60.1
tour-de-france,2001,14,141.5,5174.0,547.0,1496.0,54.0
tour-de-france,2001,15,232.5,3300.0,108.0,1496.0,0
tour-de-france,2001,16,227.5,3500.0,188.0,1496.0,5.0
tour-de-france,2001,17,194.0,3000.0,123.0,1496.0,0
tour-de-france,2001,18,61.0,541.0,24.0,1496.0,84.1
tour-de-france,2001,19,149.5,1022.0,22.0,1496.0,0
tour-de-france,2001,20,160.5,1873.0,26.0,1496.0,0
tour-de-france,2002,1,192.5,3000.0,165.0,1489.0,0
tour-de-france,2002,2,181.0,2860.0,99.0,1489.0,0
tour-de-france,2002,3,174.5,1351.0,21.0,1489.0,0
tour-de-france,2002,4,67.5,763.0,34.0,1489.0,Error
tour-de-france,2002,5,195.0,1503.0,22.0,1489.0,0
tour-de-france,2002,6,199.5,2081.0,36.0,1489.0,0
tour-de-france,2002,7,176.0,2234.0,70.0,1489.0,0
tour-de-france,2002,8,217.5,2436.0,89.0,1489.0,0
tour-de-france,2002,9,52.0,616.0,24.0,1489.0,11.0
tour-de-france,2002,10,147.0,1183.0,54.0,1489.0,27.0
tour-de-france,2002,11,158.0,4000.0,393.0,1489.0,7.0
tour-de-france,2002,12,199.5,5000.0,557.0,1489.0,64.1
tour-de-france,2002,13,171.0,2180.0,62.0,1489.0,0
tour-de-france,2002,14,221.0,4000.0,380.0,1489.0,118.1
tour-de-france,2002,15,226.5,4619.0,281.0,1489.0,111.1
tour-de-france,2002,16,179.5,5161.0,370.0,1489.0,85.1
tour-de-france,2002,17,142.0,4000.0,382.0,1489.0,0
tour-de-france,2002,18,176.5,3814.0,193.0,1489.0,0
tour-de-france,2002,19,50.0,857.0,63.0,1489.0,52.0
tour-de-france,2002,20,140.0,1423.0,16.0,1489.0,0
tour-de-france,2003,1,168.0,1476.0,31.0,1688.0,0
tour-de-france,2003,2,204.5,2461.0,73.0,1688.0,0
tour-de-france,2003,3,167.5,1605.0,32.0,1688.0,0
tour-de-france,2003,4,69.0,592.0,21.0,1688.0,Error
tour-de-france,2003,5,196.5,2316.0,49.0,1688.0,0
tour-de-france,2003,6,230.0,2000.0,69.0,1688.0,0
tour-de-france,2003,7,230.5,4500.0,340.0,1688.0,149.2
tour-de-france,2003,8,219.0,5500.0,550.0,1688.0,105.1
tour-de-france,2003,9,184.5,4500.0,314.0,1688.0,36.0
tour-de-france,2003,10,219.5,2000.0,100.0,1688.0,0
tour-de-france,2003,11,153.5,1858.0,61.0,1688.0,4.0
tour-de-france,2003,12,47.0,712.0,49.0,1688.0,96.1
tour-de-france,2003,13,197.5,4000.0,496.0,1688.0,61.1
tour-de-france,2003,14,191.5,5000.0,498.0,1688.0,0
tour-de-france,2003,15,159.5,4500.0,564.0,1688.0,40.0
tour-de-france,2003,16,197.5,4000.0,243.0,1688.0,115.1
tour-de-france,2003,17,181.0,808.0,7.0,1688.0,17.0
tour-de-france,2003,18,202.5,1678.0,16.0,1688.0,0
tour-de-france,2003,19,49.0,395.0,12.0,1688.0,9.0
tour-de-france,2003,20,152.0,757.0,7.0,1688.0,0
tour-de-france,2004,1,202.5,2864.0,68.0,1555.0,0
tour-de-france,2004,2,197.0,1852.0,44.0,1555.0,0
tour-de-france,2004,3,210.0,1615.0,18.0,1555.0,0
tour-de-france,2004,4,64.5,653.0,11.0,1555.0,Error
tour-de-france,2004,5,200.5,2026.0,37.0,1555.0,0
tour-de-france,2004,6,196.0,1398.0,19.0,1555.0,0
tour-de-france,2004,7,204.5,2306.0,52.0,1555.0,0
tour-de-france,2004,8,168.0,2306.0,70.0,1555.0,0
tour-de-france,2004,9,160.5,2000.0,96.0,1555.0,0
tour-de-france,2004,10,237.0,4500.0,258.0,1555.0,319.5
tour-de-france,2004,11,164.0,3248.0,175.0,1555.0,135.2
tour-de-france,2004,12,197.5,3867.0,344.0,1555.0,0
tour-de-france,2004,13,205.5,5500.0,560.0,1555.0,0
tour-de-france,2004,14,192.5,1808.0,38.0,1555.0,25.0
tour-de-france,2004,15,180.5,4818.0,367.0,1555.0,0
tour-de-france,2004,16,15.5,1384.0,249.0,1555.0,61.1
tour-de-france,2004,17,204.5,6000.0,505.0,1555.0,0
tour-de-france,2004,18,166.5,2500.0,167.0,1555.0,0
tour-de-france,2004,19,55.0,1042.0,89.0,1555.0,61.1
tour-de-france,2004,20,163.0,1453.0,25.0,1555.0,0
tour-de-france,2005,1,19.0,27.0,0.0,1535.0,2.0
tour-de-france,2005,2,182.0,432.0,1.0,1535.0,0
tour-de-france,2005,3,212.0,1465.0,19.0,1535.0,0
tour-de-france,2005,4,67.5,355.0,7.0,1535.0,Error
tour-de-france,2005,5,183.0,1018.0,6.0,1535.0,0
tour-de-france,2005,6,199.0,1750.0,41.0,1535.0,0
tour-de-france,2005,7,228.0,1314.0,12.0,1535.0,0
tour-de-france,2005,8,231.0,2493.0,100.0,1535.0,0
tour-de-france,2005,9,171.0,2805.0,94.0,1535.0,184.3
tour-de-france,2005,10,181.0,4197.0,313.0,1535.0,0
tour-de-france,2005,11,173.0,4280.0,261.0,1535.0,1.0
tour-de-france,2005,12,187.0,3021.0,148.0,1535.0,57.0
tour-de-france,2005,13,174.0,1117.0,12.0,1535.0,0
tour-de-france,2005,14,174.0,4188.0,334.0,1535.0,56.0
tour-de-france,2005,15,206.0,5633.0,489.0,1535.0,6.0
tour-de-france,2005,16,181.0,3560.0,150.0,1535.0,0
tour-de-france,2005,17,240.0,2830.0,92.0,1535.0,0
tour-de-france,2005,18,189.0,2947.0,157.0,1535.0,27.0
tour-de-france,2005,19,154.0,2344.0,66.0,1535.0,10.0
tour-de-france,2005,20,55.0,806.0,50.0,1535.0,23.0
tour-de-france,2006,1,184.5,913.0,5.0,1340.0,0
tour-de-france,2006,2,228.5,2679.0,65.0,1340.0,0
tour-de-france,2006,3,216.5,2423.0,66.0,1340.0,5.0
tour-de-france,2006,4,207.0,1736.0,20.0,1340.0,0
tour-de-france,2006,5,225.0,1595.0,22.0,1340.0,0
tour-de-france,2006,6,189.0,1378.0,18.0,1340.0,0
tour-de-france,2006,7,52.0,389.0,1.0,1340.0,60.1
tour-de-france,2006,8,181.0,1465.0,17.0,1340.0,125.2
tour-de-france,2006,9,169.5,326.0,0.0,1340.0,0
tour-de-france,2006,10,190.5,3595.0,174.0,1340.0,0
tour-de-france,2006,11,206.5,5721.0,307.0,1340.0,0
tour-de-france,2006,12,211.5,1750.0,30.0,1340.0,27.0
tour-de-france,2006,13,231.0,1647.0,18.0,1340.0,0
tour-de-france,2006,14,180.5,2644.0,76.0,1340.0,0
tour-de-france,2006,15,187.0,4442.0,335.0,1340.0,11.0
tour-de-france,2006,16,182.0,5456.0,393.0,1340.0,101.1
tour-de-france,2006,17,200.5,4356.0,308.0,1340.0,342.5
tour-de-france,2006,18,197.0,1751.0,47.0,1340.0,0
tour-de-france,2006,19,57.0,376.0,8.0,1340.0,41.0
tour-de-france,2006,20,154.5,376.0,9.0,1340.0,0
tour-de-france,2007,1,203.0,1709.0,27.0,1612.0,0
tour-de-france,2007,2,168.5,337.0,0.0,1612.0,0
tour-de-france,2007,3,236.5,1397.0,12.0,1612.0,0
tour-de-france,2007,4,193.0,1652.0,34.0,1612.0,0
tour-de-france,2007,5,182.5,2703.0,88.0,1612.0,0
tour-de-france,2007,6,199.5,1484.0,20.0,1612.0,0
tour-de-france,2007,7,197.5,3250.0,199.0,1612.0,40.0
tour-de-france,2007,8,165.0,4933.0,344.0,1612.0,167.2
tour-de-france,2007,9,159.5,3458.0,247.0,1612.0,38.0
tour-de-france,2007,10,229.5,1917.0,44.0,1612.0,0
tour-de-france,2007,11,182.5,854.0,7.0,1612.0,0
tour-de-france,2007,12,178.5,2337.0,74.0,1612.0,0
tour-de-france,2007,13,54.0,533.0,26.0,1612.0,74.1
tour-de-france,2007,14,197.0,4370.0,371.0,1612.0,0
tour-de-france,2007,15,196.0,5445.0,369.0,1612.0,51.0
tour-de-france,2007,16,218.5,6031.0,453.0,1612.0,26.0
tour-de-france,2007,17,188.5,1734.0,44.0,1612.0,0
tour-de-france,2007,18,211.0,1938.0,32.0,1612.0,1.0
tour-de-france,2007,19,55.5,480.0,14.0,1612.0,51.0
tour-de-france,2007,20,146.0,796.0,10.0,1612.0,0
tour-de-france,2008,1,197.5,2324.0,51.0,1520.0,1.0
tour-de-france,2008,2,164.5,1888.0,50.0,1520.0,0
tour-de-france,2008,3,208.0,1507.0,13.0,1520.0,0
tour-de-france,2008,4,29.5,338.0,9.0,1520.0,18.0
tour-de-france,2008,5,232.0,1299.0,10.0,1520.0,0
tour-de-france,2008,6,195.5,3280.0,167.0,1520.0,1.0
tour-de-france,2008,7,159.0,2431.0,119.0,1520.0,6.0
tour-de-france,2008,8,172.5,1892.0,48.0,1520.0,0
tour-de-france,2008,9,224.0,3778.0,217.0,1520.0,64.1
tour-de-france,2008,10,156.0,3794.0,346.0,1520.0,0
tour-de-france,2008,11,167.5,2863.0,148.0,1520.0,0
tour-de-france,2008,12,168.5,1197.0,12.0,1520.0,0
tour-de-france,2008,13,182.0,1405.0,19.0,1520.0,0
tour-de-france,2008,14,194.5,1726.0,47.0,1520.0,0
tour-de-france,2008,15,183.0,3739.0,237.0,1520.0,3.0
tour-de-france,2008,16,157.0,4174.0,259.0,1520.0,0
tour-de-france,2008,17,210.5,5405.0,389.0,1520.0,123.2
tour-de-france,2008,18,196.5,1905.0,75.0,1520.0,0
tour-de-france,2008,19,165.5,1814.0,43.0,1520.0,0
tour-de-france,2008,20,53.0,408.0,14.0,1520.0,21.0
tour-de-france,2009,1,15.5,316.0,40.0,1557.0,18.0
tour-de-france,2009,2,187.0,2387.0,49.0,1557.0,0
tour-de-france,2009,3,196.5,987.0,13.0,1557.0,0
tour-de-france,2009,4,39.0,430.0,15.0,1557.0,Error
tour-de-france,2009,5,196.5,1014.0,8.0,1557.0,7.0
tour-de-france,2009,6,181.5,2227.0,63.0,1557.0,0
tour-de-france,2009,7,224.0,4910.0,253.0,1557.0,5.0
tour-de-france,2009,8,176.5,3582.0,170.0,1557.0,0
tour-de-france,2009,9,160.5,2915.0,110.0,1557.0,0
tour-de-france,2009,10,194.5,2076.0,28.0,1557.0,0
tour-de-france,2009,11,192.0,1535.0,25.0,1557.0,0
tour-de-france,2009,12,211.5,2340.0,50.0,1557.0,48.0
tour-de-france,2009,13,200.0,3019.0,139.0,1557.0,251.4
tour-de-france,2009,14,199.0,1709.0,40.0,1557.0,16.0
tour-de-france,2009,15,207.5,3659.0,196.0,1557.0,43.0
tour-de-france,2009,16,159.0,3895.0,181.0,1557.0,6.0
tour-de-france,2009,17,169.5,4781.0,343.0,1557.0,0
tour-de-france,2009,18,40.5,344.0,27.0,1557.0,3.0
tour-de-france,2009,19,178.0,1891.0,63.0,1557.0,0
tour-de-france,2009,20,167.0,3767.0,343.0,1557.0,3.0
tour-de-france,2010,1,223.5,420.0,0.0,1685.0,0
tour-de-france,2010,2,201.0,2708.0,98.0,1685.0,236.3
tour-de-france,2010,3,213.0,1168.0,7.0,1685.0,0
tour-de-france,2010,4,153.5,1107.0,7.0,1685.0,0
tour-de-france,2010,5,187.5,1374.0,19.0,1685.0,0
tour-de-france,2010,6,227.5,2345.0,44.0,1685.0,0
tour-de-france,2010,7,165.5,3446.0,211.0,1685.0,57.0
tour-de-france,2010,8,189.0,3636.0,297.0,1685.0,0
tour-de-france,2010,9,204.5,5144.0,264.0,1685.0,0
tour-de-france,2010,10,179.0,3187.0,162.0,1685.0,0
tour-de-france,2010,11,184.5,1264.0,21.0,1685.0,0
tour-de-france,2010,12,210.5,3485.0,143.0,1685.0,0
tour-de-france,2010,13,196.0,2163.0,60.0,1685.0,13.0
tour-de-france,2010,14,184.5,3796.0,324.0,1685.0,54.0
tour-de-france,2010,15,187.5,3542.0,237.0,1685.0,80.1
tour-de-france,2010,16,199.5,4721.0,202.0,1685.0,0
tour-de-france,2010,17,174.0,4681.0,410.0,1685.0,0
tour-de-france,2010,18,198.0,1056.0,9.0,1685.0,0
tour-de-france,2010,19,52.0,167.0,0.0,1685.0,17.0
tour-de-france,2010,20,102.5,481.0,6.0,1685.0,0
tour-de-france,2011,1,191.5,1286.0,35.0,1713.0,3.0
tour-de-france,2011,2,23.0,188.0,0.0,1713.0,Error
tour-de-france,2011,3,198.0,1066.0,11.0,1713.0,0
tour-de-france,2011,4,172.5,2250.0,83.0,1713.0,0
tour-de-france,2011,5,164.5,1652.0,39.0,1713.0,0
tour-de-france,2011,6,226.5,2373.0,52.0,1713.0,0
tour-de-france,2011,7,215.0,1304.0,6.0,1713.0,0
tour-de-france,2011,8,190.0,3019.0,130.0,1713.0,12.0
tour-de-france,2011,9,208.0,3975.0,160.0,1713.0,5.0
tour-de-france,2011,10,161.0,1933.0,77.0,1713.0,0
tour-de-france,2011,11,168.5,1695.0,42.0,1713.0,0
tour-de-france,2011,12,211.0,4563.0,399.0,1713.0,7.0
tour-de-france,2011,13,152.5,2605.0,148.0,1713.0,10.0
tour-de-france,2011,14,168.5,5420.0,462.0,1713.0,21.0
tour-de-france,2011,15,192.5,1464.0,25.0,1713.0,0
tour-de-france,2011,16,162.5,2372.0,90.0,1713.0,0
tour-de-france,2011,17,179.0,3193.0,170.0,1713.0,40.0
tour-de-france,2011,18,189.0,5268.0,329.0,1713.0,127.2
tour-de-france,2011,19,109.5,3571.0,368.0,1713.0,14.0
tour-de-france,2011,20,42.5,709.0,53.0,1713.0,7.0
tour-de-france,2012,1,198.0,2680.0,66.0,1703.0,0
tour-de-france,2012,2,207.5,1509.0,18.0,1703.0,0
tour-de-france,2012,3,197.0,1551.0,86.0,1703.0,1.0
tour-de-france,2012,4,214.5,1698.0,25.0,1703.0,0
tour-de-france,2012,5,196.5,1250.0,11.0,1703.0,0
